[23.01.2025 4:45:25] Протоколирование начато.
[23.01.2025 4:45:25] Создание новой базы данных
[23.01.2025 4:45:26] Загрузка данных из файла Excel.
[23.01.2025 4:45:26] Загружено животных: id 1, species Попугай, breed Ара
[23.01.2025 4:45:28] Добавлены продажи: id 2461, id_animal 106, id_customer 206, date 14.11.2022 0:00:00, price 8995
[23.01.2025 4:45:28] Добавлены продажи: id 2462, id_animal 218, id_customer 272, date 02.05.2023 0:00:00, price 3756
[23.01.2025 4:45:28] Добавлены продажи: id 2463, id_animal 205, id_customer 229, date 06.06.2023 0:00:00, price 8502
[23.01.2025 4:45:28] Добавлены продажи: id 2464, id_animal 56, id_customer 151, date 04.03.2023 0:00:00, price 2331
[23.01.2025 4:45:28] Добавлены продажи: id 2465, id_animal 97, id_customer 262, date 01.05.2023 0:00:00, price 1529
[23.01.2025 4:45:28] Добавлены продажи: id 2466, id_animal 18, id_customer 54, date 19.06.2023 0:00:00, price 3782
[23.01.2025 4:45:28] Добавлены продажи: id 2467, id_animal 28, id_customer 226, date 16.02.2023 0:00:00, price 6838
[23.01.2025 4:45:28] Добавлены продажи: id 2468, id_animal 215, id_customer 225, date 19.07.2023 0:00:00, price 6946
[23.01.2025 4:45:28] Добавлены продажи: id 2469, id_animal 286, id_customer 22, date 28.09.2022 0:00:00, price 2128
[23.01.2025 4:45:28] Добавлены продажи: id 2470, id_animal 167, id_customer 170, date 09.09.2022 0:00:00, price 788
[23.01.2025 4:45:28] Добавлены продажи: id 2471, id_animal 70, id_customer 48, date 04.06.2023 0:00:00, price 9020
[23.01.2025 4:45:28] Добавлены продажи: id 2472, id_animal 225, id_customer 109, date 08.12.2022 0:00:00, price 1017
[23.01.2025 4:45:28] Добавлены продажи: id 2473, id_animal 252, id_customer 75, date 21.04.2023 0:00:00, price 2205
[23.01.2025 4:45:28] Добавлены продажи: id 2474, id_animal 50, id_customer 99, date 31.01.2023 0:00:00, price 5717
[23.01.2025 4:45:28] Добавлены продажи: id 2475, id_animal 42, id_customer 110, date 15.02.2023 0:00:00, price 5458
[23.01.2025 4:45:28] Добавлены продажи: id 2476, id_animal 99, id_customer 52, date 11.10.2022 0:00:00, price 3722
[23.01.2025 4:45:28] Добавлены продажи: id 2477, id_animal 12, id_customer 106, date 08.04.2023 0:00:00, price 8205
[23.01.2025 4:45:28] Добавлены продажи: id 2478, id_animal 32, id_customer 225, date 24.08.2022 0:00:00, price 2294
[23.01.2025 4:45:28] Добавлены продажи: id 2479, id_animal 235, id_customer 80, date 26.08.2022 0:00:00, price 6166
[23.01.2025 4:45:28] Добавлены продажи: id 2480, id_animal 225, id_customer 216, date 10.09.2022 0:00:00, price 5131
[23.01.2025 4:45:28] Добавлены продажи: id 2481, id_animal 283, id_customer 49, date 31.03.2023 0:00:00, price 7803
[23.01.2025 4:45:28] Добавлены продажи: id 2482, id_animal 77, id_customer 74, date 28.05.2023 0:00:00, price 3146
[23.01.2025 4:45:28] Добавлены продажи: id 2483, id_animal 163, id_customer 182, date 15.05.2023 0:00:00, price 7939
[23.01.2025 4:45:28] Добавлены продажи: id 2484, id_animal 209, id_customer 180, date 09.12.2022 0:00:00, price 5074
[23.01.2025 4:45:28] Добавлены продажи: id 2485, id_animal 68, id_customer 28, date 20.09.2022 0:00:00, price 6650
[23.01.2025 4:45:28] Добавлены продажи: id 2486, id_animal 103, id_customer 22, date 11.06.2023 0:00:00, price 4342
[23.01.2025 4:45:28] Добавлены продажи: id 2487, id_animal 220, id_customer 232, date 16.10.2022 0:00:00, price 4078
[23.01.2025 4:45:28] Добавлены продажи: id 2488, id_animal 102, id_customer 252, date 21.04.2023 0:00:00, price 6594
[23.01.2025 4:45:28] Добавлены продажи: id 2489, id_animal 74, id_customer 18, date 27.08.2022 0:00:00, price 3315
[23.01.2025 4:45:28] Добавлены продажи: id 2490, id_animal 215, id_customer 86, date 09.10.2022 0:00:00, price 2278
[23.01.2025 4:45:28] Добавлены продажи: id 2491, id_animal 87, id_customer 25, date 27.07.2023 0:00:00, price 1945
[23.01.2025 4:45:28] Добавлены продажи: id 2492, id_animal 285, id_customer 10, date 02.07.2023 0:00:00, price 4174
[23.01.2025 4:45:28] Добавлены продажи: id 2493, id_animal 250, id_customer 183, date 09.06.2023 0:00:00, price 2659
[23.01.2025 4:45:28] Добавлены продажи: id 2494, id_animal 95, id_customer 291, date 23.02.2023 0:00:00, price 4043
[23.01.2025 4:45:28] Добавлены продажи: id 2495, id_animal 287, id_customer 64, date 31.05.2023 0:00:00, price 6419
[23.01.2025 4:45:28] Добавлены продажи: id 2496, id_animal 184, id_customer 20, date 04.05.2023 0:00:00, price 9320
[23.01.2025 4:45:28] Добавлены продажи: id 2497, id_animal 41, id_customer 14, date 29.05.2023 0:00:00, price 5939
[23.01.2025 4:45:28] Добавлены продажи: id 2498, id_animal 257, id_customer 277, date 21.09.2022 0:00:00, price 2037
[23.01.2025 4:45:28] Добавлены продажи: id 2499, id_animal 11, id_customer 89, date 12.11.2022 0:00:00, price 5921
[23.01.2025 4:45:28] Добавлены продажи: id 2500, id_animal 286, id_customer 132, date 15.05.2023 0:00:00, price 3725
[23.01.2025 4:45:28] Добавлены продажи: id 2501, id_animal 88, id_customer 258, date 11.07.2023 0:00:00, price 2612
[23.01.2025 4:45:28] Добавлены продажи: id 2502, id_animal 41, id_customer 252, date 22.11.2022 0:00:00, price 4176
[23.01.2025 4:45:28] Добавлены продажи: id 2503, id_animal 179, id_customer 218, date 05.04.2023 0:00:00, price 5899
[23.01.2025 4:45:28] Добавлены продажи: id 2504, id_animal 115, id_customer 50, date 07.12.2022 0:00:00, price 4172
[23.01.2025 4:45:28] Добавлены продажи: id 2505, id_animal 111, id_customer 86, date 19.06.2023 0:00:00, price 4793
[23.01.2025 4:45:28] Добавлены продажи: id 2506, id_animal 71, id_customer 216, date 26.12.2022 0:00:00, price 6505
[23.01.2025 4:45:28] Добавлены продажи: id 2507, id_animal 51, id_customer 265, date 26.01.2023 0:00:00, price 3885
[23.01.2025 4:45:28] Добавлены продажи: id 2508, id_animal 229, id_customer 108, date 18.04.2023 0:00:00, price 8036
[23.01.2025 4:45:28] Добавлены продажи: id 2509, id_animal 297, id_customer 5, date 21.07.2023 0:00:00, price 5211
[23.01.2025 4:45:28] Добавлены продажи: id 2510, id_animal 7, id_customer 133, date 18.06.2023 0:00:00, price 1879
[23.01.2025 4:45:28] Добавлены продажи: id 2511, id_animal 136, id_customer 128, date 21.01.2023 0:00:00, price 6702
[23.01.2025 4:45:28] Добавлены продажи: id 2512, id_animal 91, id_customer 73, date 19.02.2023 0:00:00, price 4909
[23.01.2025 4:45:28] Добавлены продажи: id 2513, id_animal 291, id_customer 140, date 04.05.2023 0:00:00, price 6916
[23.01.2025 4:45:28] Добавлены продажи: id 2514, id_animal 163, id_customer 220, date 04.01.2023 0:00:00, price 1163
[23.01.2025 4:45:28] Добавлены продажи: id 2515, id_animal 260, id_customer 35, date 04.06.2023 0:00:00, price 1123
[23.01.2025 4:45:28] Добавлены продажи: id 2516, id_animal 147, id_customer 246, date 23.03.2023 0:00:00, price 2020
[23.01.2025 4:45:28] Добавлены продажи: id 2517, id_animal 205, id_customer 258, date 03.09.2022 0:00:00, price 3864
[23.01.2025 4:45:28] Добавлены продажи: id 2518, id_animal 281, id_customer 186, date 23.02.2023 0:00:00, price 6738
[23.01.2025 4:45:28] Добавлены продажи: id 2519, id_animal 173, id_customer 237, date 19.08.2022 0:00:00, price 1229
[23.01.2025 4:45:28] Добавлены продажи: id 2520, id_animal 160, id_customer 231, date 25.04.2023 0:00:00, price 4250
[23.01.2025 4:45:28] Добавлены продажи: id 2521, id_animal 260, id_customer 123, date 03.04.2023 0:00:00, price 2698
[23.01.2025 4:45:28] Добавлены продажи: id 2522, id_animal 16, id_customer 47, date 24.09.2022 0:00:00, price 7783
[23.01.2025 4:45:28] Добавлены продажи: id 2523, id_animal 160, id_customer 86, date 08.03.2023 0:00:00, price 7952
[23.01.2025 4:45:28] Добавлены продажи: id 2524, id_animal 276, id_customer 68, date 12.10.2022 0:00:00, price 5919
[23.01.2025 4:45:28] Добавлены продажи: id 2525, id_animal 39, id_customer 262, date 07.07.2023 0:00:00, price 5864
[23.01.2025 4:45:28] Добавлены продажи: id 2526, id_animal 13, id_customer 175, date 04.04.2023 0:00:00, price 3366
[23.01.2025 4:45:28] Добавлены продажи: id 2527, id_animal 55, id_customer 146, date 08.08.2023 0:00:00, price 3811
[23.01.2025 4:45:28] Добавлены продажи: id 2528, id_animal 90, id_customer 36, date 25.04.2023 0:00:00, price 7175
[23.01.2025 4:45:28] Добавлены продажи: id 2529, id_animal 110, id_customer 204, date 25.02.2023 0:00:00, price 2049
[23.01.2025 4:45:28] Добавлены продажи: id 2530, id_animal 18, id_customer 294, date 18.03.2023 0:00:00, price 3240
[23.01.2025 4:45:28] Добавлены продажи: id 2531, id_animal 258, id_customer 220, date 24.08.2022 0:00:00, price 7272
[23.01.2025 4:45:28] Добавлены продажи: id 2532, id_animal 46, id_customer 269, date 23.12.2022 0:00:00, price 1547
[23.01.2025 4:45:28] Добавлены продажи: id 2533, id_animal 78, id_customer 95, date 26.06.2023 0:00:00, price 9206
[23.01.2025 4:45:28] Добавлены продажи: id 2534, id_animal 60, id_customer 117, date 17.12.2022 0:00:00, price 1424
[23.01.2025 4:45:28] Добавлены продажи: id 2535, id_animal 182, id_customer 215, date 10.12.2022 0:00:00, price 8478
[23.01.2025 4:45:28] Добавлены продажи: id 2536, id_animal 149, id_customer 200, date 20.09.2022 0:00:00, price 3214
[23.01.2025 4:45:28] Добавлены продажи: id 2537, id_animal 208, id_customer 172, date 05.12.2022 0:00:00, price 2747
[23.01.2025 4:45:28] Добавлены продажи: id 2538, id_animal 79, id_customer 64, date 07.04.2023 0:00:00, price 6069
[23.01.2025 4:45:28] Добавлены продажи: id 2539, id_animal 25, id_customer 109, date 13.01.2023 0:00:00, price 7102
[23.01.2025 4:45:28] Добавлены продажи: id 2540, id_animal 182, id_customer 277, date 25.11.2022 0:00:00, price 3264
[23.01.2025 4:45:28] Добавлены продажи: id 2541, id_animal 63, id_customer 3, date 21.05.2023 0:00:00, price 5276
[23.01.2025 4:45:28] Добавлены продажи: id 2542, id_animal 191, id_customer 245, date 13.07.2023 0:00:00, price 1386
[23.01.2025 4:45:28] Добавлены продажи: id 2543, id_animal 90, id_customer 164, date 30.11.2022 0:00:00, price 4061
[23.01.2025 4:45:28] Добавлены продажи: id 2544, id_animal 143, id_customer 223, date 16.12.2022 0:00:00, price 4656
[23.01.2025 4:45:28] Добавлены продажи: id 2545, id_animal 103, id_customer 133, date 06.05.2023 0:00:00, price 7162
[23.01.2025 4:45:28] Добавлены продажи: id 2546, id_animal 283, id_customer 126, date 14.12.2022 0:00:00, price 2799
[23.01.2025 4:45:28] Добавлены продажи: id 2547, id_animal 182, id_customer 218, date 13.06.2023 0:00:00, price 2630
[23.01.2025 4:45:28] Добавлены продажи: id 2548, id_animal 168, id_customer 165, date 03.12.2022 0:00:00, price 6198
[23.01.2025 4:45:28] Добавлены продажи: id 2549, id_animal 204, id_customer 245, date 03.03.2023 0:00:00, price 6251
[23.01.2025 4:45:28] Добавлены продажи: id 2550, id_animal 101, id_customer 58, date 24.09.2022 0:00:00, price 1536
[23.01.2025 4:45:28] Добавлены продажи: id 2551, id_animal 174, id_customer 234, date 26.02.2023 0:00:00, price 6444
[23.01.2025 4:45:28] Добавлены продажи: id 2552, id_animal 136, id_customer 110, date 21.10.2022 0:00:00, price 6570
[23.01.2025 4:45:28] Добавлены продажи: id 2553, id_animal 240, id_customer 111, date 04.04.2023 0:00:00, price 3362
[23.01.2025 4:45:28] Добавлены продажи: id 2554, id_animal 36, id_customer 199, date 04.03.2023 0:00:00, price 6890
[23.01.2025 4:45:28] Добавлены продажи: id 2555, id_animal 253, id_customer 128, date 14.11.2022 0:00:00, price 5761
[23.01.2025 4:45:28] Добавлены продажи: id 2556, id_animal 287, id_customer 291, date 05.12.2022 0:00:00, price 1423
[23.01.2025 4:45:28] Добавлены продажи: id 2557, id_animal 2, id_customer 7, date 15.10.2022 0:00:00, price 4597
[23.01.2025 4:45:28] Добавлены продажи: id 2558, id_animal 12, id_customer 132, date 13.01.2023 0:00:00, price 4103
[23.01.2025 4:45:28] Добавлены продажи: id 2559, id_animal 70, id_customer 151, date 04.12.2022 0:00:00, price 2413
[23.01.2025 4:45:28] Добавлены продажи: id 2560, id_animal 41, id_customer 202, date 12.11.2022 0:00:00, price 2815
[23.01.2025 4:45:28] Добавлены продажи: id 2561, id_animal 271, id_customer 111, date 23.06.2023 0:00:00, price 1248
[23.01.2025 4:45:28] Добавлены продажи: id 2562, id_animal 12, id_customer 87, date 27.08.2022 0:00:00, price 4420
[23.01.2025 4:45:28] Добавлены продажи: id 2563, id_animal 125, id_customer 272, date 02.08.2023 0:00:00, price 7121
[23.01.2025 4:45:28] Добавлены продажи: id 2564, id_animal 59, id_customer 241, date 19.10.2022 0:00:00, price 8279
[23.01.2025 4:45:28] Добавлены продажи: id 2565, id_animal 180, id_customer 3, date 29.04.2023 0:00:00, price 8313
[23.01.2025 4:45:28] Добавлены продажи: id 2566, id_animal 88, id_customer 217, date 12.06.2023 0:00:00, price 7403
[23.01.2025 4:45:28] Добавлены продажи: id 2567, id_animal 156, id_customer 130, date 18.01.2023 0:00:00, price 4599
[23.01.2025 4:45:28] Добавлены продажи: id 2568, id_animal 239, id_customer 43, date 12.09.2022 0:00:00, price 6754
[23.01.2025 4:45:28] Добавлены продажи: id 2569, id_animal 46, id_customer 199, date 07.09.2022 0:00:00, price 6637
[23.01.2025 4:45:28] Добавлены продажи: id 2570, id_animal 78, id_customer 286, date 03.03.2023 0:00:00, price 8205
[23.01.2025 4:45:28] Добавлены продажи: id 2571, id_animal 38, id_customer 140, date 29.05.2023 0:00:00, price 6775
[23.01.2025 4:45:28] Добавлены продажи: id 2572, id_animal 62, id_customer 16, date 18.12.2022 0:00:00, price 3727
[23.01.2025 4:45:28] Добавлены продажи: id 2573, id_animal 172, id_customer 151, date 07.12.2022 0:00:00, price 5923
[23.01.2025 4:45:28] Добавлены продажи: id 2574, id_animal 194, id_customer 182, date 21.05.2023 0:00:00, price 2133
[23.01.2025 4:45:28] Добавлены продажи: id 2575, id_animal 182, id_customer 117, date 29.10.2022 0:00:00, price 6527
[23.01.2025 4:45:28] Добавлены продажи: id 2576, id_animal 190, id_customer 100, date 19.10.2022 0:00:00, price 4867
[23.01.2025 4:45:28] Добавлены продажи: id 2577, id_animal 211, id_customer 263, date 09.08.2023 0:00:00, price 1860
[23.01.2025 4:45:28] Добавлены продажи: id 2578, id_animal 249, id_customer 190, date 28.09.2022 0:00:00, price 1516
[23.01.2025 4:45:28] Добавлены продажи: id 2579, id_animal 289, id_customer 286, date 01.02.2023 0:00:00, price 6916
[23.01.2025 4:45:28] Добавлены продажи: id 2580, id_animal 222, id_customer 159, date 15.12.2022 0:00:00, price 1259
[23.01.2025 4:45:28] Добавлены продажи: id 2581, id_animal 9, id_customer 90, date 22.01.2023 0:00:00, price 5981
[23.01.2025 4:45:28] Добавлены продажи: id 2582, id_animal 209, id_customer 171, date 16.05.2023 0:00:00, price 4253
[23.01.2025 4:45:28] Добавлены продажи: id 2583, id_animal 246, id_customer 288, date 20.12.2022 0:00:00, price 2204
[23.01.2025 4:45:28] Добавлены продажи: id 2584, id_animal 74, id_customer 47, date 10.01.2023 0:00:00, price 5209
[23.01.2025 4:45:28] Добавлены продажи: id 2585, id_animal 117, id_customer 179, date 08.03.2023 0:00:00, price 3659
[23.01.2025 4:45:28] Добавлены продажи: id 2586, id_animal 1, id_customer 253, date 18.07.2023 0:00:00, price 2351
[23.01.2025 4:45:28] Добавлены продажи: id 2587, id_animal 244, id_customer 150, date 17.09.2022 0:00:00, price 5288
[23.01.2025 4:45:28] Добавлены продажи: id 2588, id_animal 201, id_customer 85, date 08.06.2023 0:00:00, price 2428
[23.01.2025 4:45:28] Добавлены продажи: id 2589, id_animal 178, id_customer 25, date 31.01.2023 0:00:00, price 3236
[23.01.2025 4:45:28] Добавлены продажи: id 2590, id_animal 71, id_customer 90, date 01.03.2023 0:00:00, price 1258
[23.01.2025 4:45:28] Добавлены продажи: id 2591, id_animal 295, id_customer 121, date 25.06.2023 0:00:00, price 2826
[23.01.2025 4:45:28] Добавлены продажи: id 2592, id_animal 234, id_customer 96, date 23.09.2022 0:00:00, price 3738
[23.01.2025 4:45:28] Добавлены продажи: id 2593, id_animal 2, id_customer 158, date 09.11.2022 0:00:00, price 9083
[23.01.2025 4:45:28] Добавлены продажи: id 2594, id_animal 95, id_customer 238, date 04.12.2022 0:00:00, price 4421
[23.01.2025 4:45:28] Добавлены продажи: id 2595, id_animal 172, id_customer 48, date 29.04.2023 0:00:00, price 5963
[23.01.2025 4:45:28] Добавлены продажи: id 2596, id_animal 122, id_customer 35, date 26.08.2022 0:00:00, price 4246
[23.01.2025 4:45:28] Добавлены продажи: id 2597, id_animal 177, id_customer 145, date 14.11.2022 0:00:00, price 6819
[23.01.2025 4:45:28] Добавлены продажи: id 2598, id_animal 206, id_customer 224, date 28.12.2022 0:00:00, price 2097
[23.01.2025 4:45:28] Добавлены продажи: id 2599, id_animal 146, id_customer 217, date 15.01.2023 0:00:00, price 2012
[23.01.2025 4:45:28] Добавлены продажи: id 2600, id_animal 166, id_customer 60, date 29.07.2023 0:00:00, price 7967
[23.01.2025 4:45:28] Добавлены продажи: id 2601, id_animal 64, id_customer 52, date 28.02.2023 0:00:00, price 2936
[23.01.2025 4:45:28] Добавлены продажи: id 2602, id_animal 68, id_customer 229, date 16.09.2022 0:00:00, price 6379
[23.01.2025 4:45:28] Добавлены продажи: id 2603, id_animal 6, id_customer 169, date 28.10.2022 0:00:00, price 1320
[23.01.2025 4:45:28] Добавлены продажи: id 2604, id_animal 148, id_customer 287, date 06.08.2023 0:00:00, price 1265
[23.01.2025 4:45:28] Добавлены продажи: id 2605, id_animal 300, id_customer 63, date 08.05.2023 0:00:00, price 2382
[23.01.2025 4:45:28] Добавлены продажи: id 2606, id_animal 236, id_customer 115, date 31.03.2023 0:00:00, price 3366
[23.01.2025 4:45:28] Добавлены продажи: id 2607, id_animal 205, id_customer 271, date 30.01.2023 0:00:00, price 6215
[23.01.2025 4:45:28] Добавлены продажи: id 2608, id_animal 59, id_customer 63, date 29.12.2022 0:00:00, price 7994
[23.01.2025 4:45:28] Добавлены продажи: id 2609, id_animal 161, id_customer 176, date 31.01.2023 0:00:00, price 3758
[23.01.2025 4:45:28] Добавлены продажи: id 2610, id_animal 202, id_customer 261, date 13.01.2023 0:00:00, price 7248
[23.01.2025 4:45:28] Добавлены продажи: id 2611, id_animal 167, id_customer 212, date 27.09.2022 0:00:00, price 6893
[23.01.2025 4:45:28] Добавлены продажи: id 2612, id_animal 211, id_customer 48, date 07.04.2023 0:00:00, price 1050
[23.01.2025 4:45:28] Добавлены продажи: id 2613, id_animal 2, id_customer 85, date 25.12.2022 0:00:00, price 7308
[23.01.2025 4:45:28] Добавлены продажи: id 2614, id_animal 103, id_customer 266, date 11.01.2023 0:00:00, price 7544
[23.01.2025 4:45:28] Добавлены продажи: id 2615, id_animal 288, id_customer 234, date 06.04.2023 0:00:00, price 7063
[23.01.2025 4:45:28] Добавлены продажи: id 2616, id_animal 44, id_customer 136, date 05.08.2023 0:00:00, price 3539
[23.01.2025 4:45:28] Добавлены продажи: id 2617, id_animal 295, id_customer 269, date 15.02.2023 0:00:00, price 5478
[23.01.2025 4:45:28] Добавлены продажи: id 2618, id_animal 89, id_customer 239, date 07.10.2022 0:00:00, price 2402
[23.01.2025 4:45:28] Добавлены продажи: id 2619, id_animal 285, id_customer 50, date 08.01.2023 0:00:00, price 7182
[23.01.2025 4:45:28] Добавлены продажи: id 2620, id_animal 8, id_customer 1, date 07.11.2022 0:00:00, price 1003
[23.01.2025 4:45:28] Добавлены продажи: id 2621, id_animal 236, id_customer 287, date 08.11.2022 0:00:00, price 1016
[23.01.2025 4:45:28] Добавлены продажи: id 2622, id_animal 287, id_customer 17, date 30.07.2023 0:00:00, price 1308
[23.01.2025 4:45:28] Добавлены продажи: id 2623, id_animal 260, id_customer 178, date 16.05.2023 0:00:00, price 2669
[23.01.2025 4:45:28] Добавлены продажи: id 2624, id_animal 243, id_customer 189, date 20.07.2023 0:00:00, price 5733
[23.01.2025 4:45:28] Добавлены продажи: id 2625, id_animal 15, id_customer 249, date 17.05.2023 0:00:00, price 1833
[23.01.2025 4:45:28] Добавлены продажи: id 2626, id_animal 198, id_customer 241, date 12.12.2022 0:00:00, price 5413
[23.01.2025 4:45:28] Добавлены продажи: id 2627, id_animal 208, id_customer 66, date 04.02.2023 0:00:00, price 5644
[23.01.2025 4:45:28] Добавлены продажи: id 2628, id_animal 265, id_customer 244, date 19.07.2023 0:00:00, price 3728
[23.01.2025 4:45:28] Добавлены продажи: id 2629, id_animal 38, id_customer 258, date 28.06.2023 0:00:00, price 1952
[23.01.2025 4:45:28] Добавлены продажи: id 2630, id_animal 97, id_customer 258, date 29.10.2022 0:00:00, price 3644
[23.01.2025 4:45:28] Добавлены продажи: id 2631, id_animal 3, id_customer 175, date 18.06.2023 0:00:00, price 6181
[23.01.2025 4:45:28] Добавлены продажи: id 2632, id_animal 275, id_customer 94, date 30.10.2022 0:00:00, price 4517
[23.01.2025 4:45:28] Добавлены продажи: id 2633, id_animal 73, id_customer 232, date 21.06.2023 0:00:00, price 7005
[23.01.2025 4:45:28] Добавлены продажи: id 2634, id_animal 184, id_customer 231, date 11.08.2023 0:00:00, price 6016
[23.01.2025 4:45:28] Добавлены продажи: id 2635, id_animal 98, id_customer 235, date 14.01.2023 0:00:00, price 1031
[23.01.2025 4:45:28] Добавлены продажи: id 2636, id_animal 95, id_customer 64, date 28.03.2023 0:00:00, price 7522
[23.01.2025 4:45:28] Добавлены продажи: id 2637, id_animal 265, id_customer 156, date 13.04.2023 0:00:00, price 6682
[23.01.2025 4:45:28] Добавлены продажи: id 2638, id_animal 245, id_customer 207, date 03.06.2023 0:00:00, price 8033
[23.01.2025 4:45:28] Добавлены продажи: id 2639, id_animal 102, id_customer 137, date 09.01.2023 0:00:00, price 6957
[23.01.2025 4:45:28] Добавлены продажи: id 2640, id_animal 13, id_customer 140, date 11.01.2023 0:00:00, price 3708
[23.01.2025 4:45:28] Добавлены продажи: id 2641, id_animal 102, id_customer 220, date 24.03.2023 0:00:00, price 6722
[23.01.2025 4:45:28] Добавлены продажи: id 2642, id_animal 242, id_customer 190, date 30.12.2022 0:00:00, price 2799
[23.01.2025 4:45:28] Добавлены продажи: id 2643, id_animal 237, id_customer 18, date 10.10.2022 0:00:00, price 4992
[23.01.2025 4:45:28] Добавлены продажи: id 2644, id_animal 149, id_customer 112, date 30.01.2023 0:00:00, price 2831
[23.01.2025 4:45:28] Добавлены продажи: id 2645, id_animal 209, id_customer 212, date 25.10.2022 0:00:00, price 4822
[23.01.2025 4:45:28] Добавлены продажи: id 2646, id_animal 59, id_customer 233, date 08.08.2023 0:00:00, price 2627
[23.01.2025 4:45:28] Добавлены продажи: id 2647, id_animal 128, id_customer 276, date 29.05.2023 0:00:00, price 6350
[23.01.2025 4:45:28] Добавлены продажи: id 2648, id_animal 238, id_customer 73, date 13.03.2023 0:00:00, price 7266
[23.01.2025 4:45:28] Добавлены продажи: id 2649, id_animal 62, id_customer 57, date 05.02.2023 0:00:00, price 5208
[23.01.2025 4:45:28] Добавлены продажи: id 2650, id_animal 18, id_customer 175, date 13.07.2023 0:00:00, price 3246
[23.01.2025 4:45:28] Добавлены продажи: id 2651, id_animal 190, id_customer 275, date 03.01.2023 0:00:00, price 4240
[23.01.2025 4:45:28] Добавлены продажи: id 2652, id_animal 51, id_customer 229, date 25.08.2022 0:00:00, price 5462
[23.01.2025 4:45:28] Добавлены продажи: id 2653, id_animal 61, id_customer 160, date 11.01.2023 0:00:00, price 2313
[23.01.2025 4:45:28] Добавлены продажи: id 2654, id_animal 194, id_customer 188, date 04.05.2023 0:00:00, price 4043
[23.01.2025 4:45:28] Добавлены продажи: id 2655, id_animal 93, id_customer 118, date 30.10.2022 0:00:00, price 1965
[23.01.2025 4:45:28] Добавлены продажи: id 2656, id_animal 82, id_customer 126, date 28.11.2022 0:00:00, price 4464
[23.01.2025 4:45:28] Добавлены продажи: id 2657, id_animal 133, id_customer 83, date 31.10.2022 0:00:00, price 5515
[23.01.2025 4:45:28] Добавлены продажи: id 2658, id_animal 87, id_customer 258, date 14.04.2023 0:00:00, price 6646
[23.01.2025 4:45:28] Добавлены продажи: id 2659, id_animal 264, id_customer 284, date 23.04.2023 0:00:00, price 4397
[23.01.2025 4:45:28] Добавлены продажи: id 2660, id_animal 161, id_customer 241, date 11.04.2023 0:00:00, price 7756
[23.01.2025 4:45:28] Добавлены продажи: id 2661, id_animal 83, id_customer 175, date 09.07.2023 0:00:00, price 4092
[23.01.2025 4:45:28] Добавлены продажи: id 2662, id_animal 132, id_customer 120, date 30.03.2023 0:00:00, price 8043
[23.01.2025 4:45:28] Добавлены продажи: id 2663, id_animal 88, id_customer 222, date 03.04.2023 0:00:00, price 7030
[23.01.2025 4:45:28] Добавлены продажи: id 2664, id_animal 44, id_customer 153, date 22.06.2023 0:00:00, price 5324
[23.01.2025 4:45:28] Добавлены продажи: id 2665, id_animal 263, id_customer 68, date 23.06.2023 0:00:00, price 8292
[23.01.2025 4:45:28] Добавлены продажи: id 2666, id_animal 82, id_customer 236, date 29.05.2023 0:00:00, price 5495
[23.01.2025 4:45:28] Добавлены продажи: id 2667, id_animal 65, id_customer 182, date 11.04.2023 0:00:00, price 3507
[23.01.2025 4:45:28] Добавлены продажи: id 2668, id_animal 279, id_customer 235, date 04.03.2023 0:00:00, price 6390
[23.01.2025 4:45:28] Добавлены продажи: id 2669, id_animal 184, id_customer 195, date 17.10.2022 0:00:00, price 7806
[23.01.2025 4:45:28] Добавлены продажи: id 2670, id_animal 71, id_customer 98, date 24.01.2023 0:00:00, price 9585
[23.01.2025 4:45:28] Добавлены продажи: id 2671, id_animal 128, id_customer 151, date 29.06.2023 0:00:00, price 2823
[23.01.2025 4:45:28] Добавлены продажи: id 2672, id_animal 135, id_customer 39, date 22.05.2023 0:00:00, price 4094
[23.01.2025 4:45:28] Добавлены продажи: id 2673, id_animal 209, id_customer 143, date 07.10.2022 0:00:00, price 4253
[23.01.2025 4:45:28] Добавлены продажи: id 2674, id_animal 19, id_customer 278, date 05.08.2023 0:00:00, price 4080
[23.01.2025 4:45:28] Добавлены продажи: id 2675, id_animal 278, id_customer 16, date 04.12.2022 0:00:00, price 4621
[23.01.2025 4:45:28] Добавлены продажи: id 2676, id_animal 190, id_customer 131, date 29.09.2022 0:00:00, price 2403
[23.01.2025 4:45:28] Добавлены продажи: id 2677, id_animal 138, id_customer 216, date 31.10.2022 0:00:00, price 5332
[23.01.2025 4:45:28] Добавлены продажи: id 2678, id_animal 57, id_customer 47, date 22.08.2022 0:00:00, price 6265
[23.01.2025 4:45:28] Добавлены продажи: id 2679, id_animal 245, id_customer 41, date 24.03.2023 0:00:00, price 8057
[23.01.2025 4:45:28] Добавлены продажи: id 2680, id_animal 295, id_customer 25, date 07.04.2023 0:00:00, price 3562
[23.01.2025 4:45:28] Добавлены продажи: id 2681, id_animal 88, id_customer 154, date 11.12.2022 0:00:00, price 3092
[23.01.2025 4:45:28] Добавлены продажи: id 2682, id_animal 243, id_customer 91, date 11.07.2023 0:00:00, price 2893
[23.01.2025 4:45:28] Добавлены продажи: id 2683, id_animal 146, id_customer 58, date 22.12.2022 0:00:00, price 3269
